[INFO ] 2024-02-13 09:38:50.546 [LCE.App.main(App.java:37)-main] App - [33m==========================================================[0m
[INFO ] 2024-02-13 09:38:50.548 [LCE.App.main(App.java:38)-main] App - [33m[status] App Initiated[0m
[TRACE] 2024-02-13 09:39:01.040 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 183 is removed
[TRACE] 2024-02-13 09:39:01.040 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 185 is removed
[TRACE] 2024-02-13 09:39:01.040 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 186 is removed
[TRACE] 2024-02-13 09:39:01.040 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 196 is removed
[TRACE] 2024-02-13 09:39:01.041 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 198 is removed
[TRACE] 2024-02-13 09:39:01.041 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 199 is removed
[TRACE] 2024-02-13 09:39:01.041 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 201 is removed
[TRACE] 2024-02-13 09:39:01.041 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 202 is removed
[TRACE] 2024-02-13 09:39:01.041 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 203 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 204 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 205 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 207 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 208 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 211 is removed
[TRACE] 2024-02-13 09:39:01.042 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 214 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 216 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 226 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 240 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 246 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 254 is removed
[TRACE] 2024-02-13 09:39:01.043 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 278 is removed
[TRACE] 2024-02-13 09:39:01.044 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 283 is removed
[TRACE] 2024-02-13 09:39:01.044 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 284 is removed
[TRACE] 2024-02-13 09:39:01.044 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 339 is removed
[TRACE] 2024-02-13 09:39:01.044 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 468 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 469 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 472 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 484 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 485 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 493 is removed
[TRACE] 2024-02-13 09:39:01.045 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 494 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 509 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 510 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 511 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 522 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 523 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 524 is removed
[TRACE] 2024-02-13 09:39:01.046 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 525 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 526 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 528 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 529 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 530 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 531 is removed
[TRACE] 2024-02-13 09:39:01.047 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 532 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 533 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 534 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 535 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 536 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 537 is removed
[TRACE] 2024-02-13 09:39:01.048 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 538 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 539 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 540 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 541 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 542 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 543 is removed
[TRACE] 2024-02-13 09:39:01.049 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 544 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 545 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 546 is removed
[TRACE] 2024-02-13 09:39:01.050 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 547 is removed
